# Wordlist

# DATA
ID	DOCULECT	IPA	COUNTERPART	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES	ALIGNMENT
#
1	ache1246	co	co	I	c o	1 7	AX	CU	1	1.C.C 1.U.V	2.0 1.5	0	1	c o
6	arao1248	ema	ema	I	e m a	7 4 7	XBZ	EMA	4	4.E.V 4.M.C 4.A.V	1.5 1.75 0.8	0	16	e m a
7	arao1248	yama	yama	I	y a m a	7 7 4 7	XYBZ	YAMA	4	4.Y.V 4.A.V 4.M.C 4.A.V	1.5 1.3 1.75 0.8	0	12	y a m a - -
19	ayor1240	yu	yu	I	y u	7 7	XZ	YY	9	9.Y.V 9.Y.V	1.5 0.8	0	9	y - u - -
20	ayor1240	uuyu	uuyu	I	uu y u	7 7 7	XYZ	YYY	9	9.Y.V 9.Y.V 9.Y.V	1.5 1.3 0.8	0	9	uu - y - u
26	bari1297	nai	nai	I	n a i	4 7 7	AXZ	NAI	10	10.N.C 10.A.V 10.I.V	2.0 1.5 0.8	0	10	n a i
30	baur1253	ni	ni	I	n i	4 7	AX	NI	11	11.N.C 11.I.V	2.0 1.5	0	6	- - n - i - - -
31	baur1253	nti	nti	I	n t i	4 1 7	ACZ	NTI	11	11.N.C 11.T.C 11.I.V	2.0 1.5 0.8	0	6	- - n t i - - -
36	cane1242	pa	pa	I	p a	1 7	AX	PA	14	14.P.C 14.A.V	2.0 1.5	0	14	p a
37	cane1242	wa	wa	I	w a	6 7	AX	WA	14	14.W.C 14.A.V	2.0 1.5	0	14	w a
40	maqu1238	iwi	iwi	I	i w i	7 6 7	XBZ	IWI	56	56.I.V 56.W.C 56.I.V	1.5 1.75 0.8	0	56	- i w i - -
45	pano1254	ia	ia	I	i a	7 7	XZ	IA	74	74.I.V 74.A.V	1.5 0.8	0	16	i - a
46	pano1254	i	i	I	i	7	X	I	74	74.I.V	1.5	0	16	i - -
54	cayu1262	hi	hi	I	h i	3 7	AX	HI	19	19.H.C 19.I.V	2.0 1.5	0	19	h i - - - -
55	cayu1262	a	a	I	a	7	X	A	19	19.A.V	1.5	0	14	- a
56	cayu1262	ri	ri	I	r i	5 7	AX	RI	19	19.R.C 19.I.V	2.0 1.5	1	30	r i
